,price,kms_driven,owner,age,power,brand
0,35000.0,17654.0,1,3.0,110.0,1
1,119900.0,11000.0,1,4.0,350.0,2
2,600000.0,110.0,1,8.0,675.0,3
3,65000.0,16329.0,1,4.0,180.0,1
4,80000.0,10000.0,1,3.0,150.0,4
5,53499.0,25000.0,1,6.0,150.0,4
6,85000.0,8200.0,1,3.0,160.0,5
7,45000.0,12645.0,1,3.0,100.0,6
8,145000.0,9190.0,1,3.0,350.0,2
9,88000.0,19000.0,2,7.0,500.0,2
10,72000.0,20000.0,1,7.0,150.0,4
11,95000.0,9665.0,1,4.0,250.0,4
12,78000.0,9900.0,1,4.0,200.0,7
13,29499.0,20000.0,1,8.0,100.0,7
14,29900.0,20000.0,1,7.0,125.0,7
15,90000.0,11574.0,1,3.0,200.0,7
16,120000.0,23000.0,1,3.0,200.0,7
17,48000.0,24725.0,1,5.0,150.0,8
18,240000.0,15025.0,2,3.0,302.0,9
22,46500.0,3500.0,1,2.0,110.0,6
23,121700.0,24520.0,1,5.0,500.0,2
24,45000.0,23000.0,1,6.0,150.0,4
26,20000.0,29305.0,1,16.0,125.0,6
27,20800.0,30500.0,2,7.0,125.0,5
28,50000.0,19000.0,1,8.0,150.0,7
29,81200.0,9100.0,1,2.0,160.0,5
30,88000.0,21914.0,1,3.0,200.0,7
31,80000.0,20000.0,2,4.0,150.0,4
32,40900.0,15000.0,1,6.0,220.0,7
33,180000.0,17700.0,1,4.0,390.0,10
34,40000.0,30000.0,1,8.0,150.0,5
35,70000.0,100000.0,2,8.0,200.0,10
36,98800.0,39000.0,1,5.0,350.0,2
37,65000.0,43000.0,1,6.0,150.0,5
38,190500.0,4550.0,1,2.0,500.0,2
39,179000.0,3400.0,1,2.0,200.0,10
40,70000.0,45000.0,1,8.0,350.0,2
41,45000.0,36100.0,1,6.0,220.0,7
42,78000.0,8500.0,1,13.0,350.0,2
43,110000.0,2550.0,1,2.0,220.0,7
44,85000.0,18000.0,1,6.0,350.0,2
45,38000.0,35000.0,1,9.0,200.0,7
46,55346.0,38000.0,1,10.0,350.0,2
47,28000.0,45000.0,1,2.0,110.0,11
48,37000.0,10800.0,1,8.0,150.0,6
49,97000.0,4400.0,1,3.0,150.0,8
50,40000.0,357000.0,1,8.0,150.0,4
51,90000.0,15300.0,1,7.0,350.0,2
52,60000.0,30000.0,1,5.0,160.0,1
53,21900.0,30000.0,2,7.0,125.0,5
54,40000.0,64000.0,1,7.0,220.0,7
55,475000.0,11500.0,2,3.0,600.0,9
56,34500.0,17056.0,1,5.0,110.0,5
57,25000.0,172082.0,1,9.0,150.0,4
58,30200.0,45000.0,1,7.0,150.0,8
59,65000.0,35000.0,1,5.0,220.0,7
60,25000.0,38000.0,1,9.0,150.0,7
61,935000.0,2500.0,1,2.0,900.0,12
62,107100.0,15438.0,2,3.0,350.0,2
63,80000.0,6000.0,1,3.0,220.0,7
64,88000.0,19000.0,1,5.0,350.0,2
65,94700.0,32700.0,1,4.0,200.0,10
66,12200.0,46643.0,1,14.0,100.0,6
